"행정구역","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_0~9세","2021년01월_계_10~19세","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_계_80~89세","2021년01월_계_90~99세","2021년01월_계_100세 이상","2021년01월_남_총인구수","2021년01월_남_연령구간인구수","2021년01월_남_0~9세","2021년01월_남_10~19세","2021년01월_남_20~29세","2021년01월_남_30~39세","2021년01월_남_40~49세","2021년01월_남_50~59세","2021년01월_남_60~69세","2021년01월_남_70~79세","2021년01월_남_80~89세","2021년01월_남_90~99세","2021년01월_남_100세 이상","2021년01월_여_총인구수","2021년01월_여_연령구간인구수","2021년01월_여_0~9세","2021년01월_여_10~19세","2021년01월_여_20~29세","2021년01월_여_30~39세","2021년01월_여_40~49세","2021년01월_여_50~59세","2021년01월_여_60~69세","2021년01월_여_70~79세","2021년01월_여_80~89세","2021년01월_여_90~99세","2021년01월_여_100세 이상","2021년02월_계_총인구수","2021년02월_계_연령구간인구수","2021년02월_계_0~9세","2021년02월_계_10~19세","2021년02월_계_20~29세","2021년02월_계_30~39세","2021년02월_계_40~49세","2021년02월_계_50~59세","2021년02월_계_60~69세","2021년02월_계_70~79세","2021년02월_계_80~89세","2021년02월_계_90~99세","2021년02월_계_100세 이상","2021년02월_남_총인구수","2021년02월_남_연령구간인구수","2021년02월_남_0~9세","2021년02월_남_10~19세","2021년02월_남_20~29세","2021년02월_남_30~39세","2021년02월_남_40~49세","2021년02월_남_50~59세","2021년02월_남_60~69세","2021년02월_남_70~79세","2021년02월_남_80~89세","2021년02월_남_90~99세","2021년02월_남_100세 이상","2021년02월_여_총인구수","2021년02월_여_연령구간인구수","2021년02월_여_0~9세","2021년02월_여_10~19세","2021년02월_여_20~29세","2021년02월_여_30~39세","2021년02월_여_40~49세","2021년02월_여_50~59세","2021년02월_여_60~69세","2021년02월_여_70~79세","2021년02월_여_80~89세","2021년02월_여_90~99세","2021년02월_여_100세 이상","2021년03월_계_총인구수","2021년03월_계_연령구간인구수","2021년03월_계_0~9세","2021년03월_계_10~19세","2021년03월_계_20~29세","2021년03월_계_30~39세","2021년03월_계_40~49세","2021년03월_계_50~59세","2021년03월_계_60~69세","2021년03월_계_70~79세","2021년03월_계_80~89세","2021년03월_계_90~99세","2021년03월_계_100세 이상","2021년03월_남_총인구수","2021년03월_남_연령구간인구수","2021년03월_남_0~9세","2021년03월_남_10~19세","2021년03월_남_20~29세","2021년03월_남_30~39세","2021년03월_남_40~49세","2021년03월_남_50~59세","2021년03월_남_60~69세","2021년03월_남_70~79세","2021년03월_남_80~89세","2021년03월_남_90~99세","2021년03월_남_100세 이상","2021년03월_여_총인구수","2021년03월_여_연령구간인구수","2021년03월_여_0~9세","2021년03월_여_10~19세","2021년03월_여_20~29세","2021년03월_여_30~39세","2021년03월_여_40~49세","2021년03월_여_50~59세","2021년03월_여_60~69세","2021년03월_여_70~79세","2021년03월_여_80~89세","2021년03월_여_90~99세","2021년03월_여_100세 이상","2021년04월_계_총인구수","2021년04월_계_연령구간인구수","2021년04월_계_0~9세","2021년04월_계_10~19세","2021년04월_계_20~29세","2021년04월_계_30~39세","2021년04월_계_40~49세","2021년04월_계_50~59세","2021년04월_계_60~69세","2021년04월_계_70~79세","2021년04월_계_80~89세","2021년04월_계_90~99세","2021년04월_계_100세 이상","2021년04월_남_총인구수","2021년04월_남_연령구간인구수","2021년04월_남_0~9세","2021년04월_남_10~19세","2021년04월_남_20~29세","2021년04월_남_30~39세","2021년04월_남_40~49세","2021년04월_남_50~59세","2021년04월_남_60~69세","2021년04월_남_70~79세","2021년04월_남_80~89세","2021년04월_남_90~99세","2021년04월_남_100세 이상","2021년04월_여_총인구수","2021년04월_여_연령구간인구수","2021년04월_여_0~9세","2021년04월_여_10~19세","2021년04월_여_20~29세","2021년04월_여_30~39세","2021년04월_여_40~49세","2021년04월_여_50~59세","2021년04월_여_60~69세","2021년04월_여_70~79세","2021년04월_여_80~89세","2021년04월_여_90~99세","2021년04월_여_100세 이상","2021년05월_계_총인구수","2021년05월_계_연령구간인구수","2021년05월_계_0~9세","2021년05월_계_10~19세","2021년05월_계_20~29세","2021년05월_계_30~39세","2021년05월_계_40~49세","2021년05월_계_50~59세","2021년05월_계_60~69세","2021년05월_계_70~79세","2021년05월_계_80~89세","2021년05월_계_90~99세","2021년05월_계_100세 이상","2021년05월_남_총인구수","2021년05월_남_연령구간인구수","2021년05월_남_0~9세","2021년05월_남_10~19세","2021년05월_남_20~29세","2021년05월_남_30~39세","2021년05월_남_40~49세","2021년05월_남_50~59세","2021년05월_남_60~69세","2021년05월_남_70~79세","2021년05월_남_80~89세","2021년05월_남_90~99세","2021년05월_남_100세 이상","2021년05월_여_총인구수","2021년05월_여_연령구간인구수","2021년05월_여_0~9세","2021년05월_여_10~19세","2021년05월_여_20~29세","2021년05월_여_30~39세","2021년05월_여_40~49세","2021년05월_여_50~59세","2021년05월_여_60~69세","2021년05월_여_70~79세","2021년05월_여_80~89세","2021년05월_여_90~99세","2021년05월_여_100세 이상","2021년06월_계_총인구수","2021년06월_계_연령구간인구수","2021년06월_계_0~9세","2021년06월_계_10~19세","2021년06월_계_20~29세","2021년06월_계_30~39세","2021년06월_계_40~49세","2021년06월_계_50~59세","2021년06월_계_60~69세","2021년06월_계_70~79세","2021년06월_계_80~89세","2021년06월_계_90~99세","2021년06월_계_100세 이상","2021년06월_남_총인구수","2021년06월_남_연령구간인구수","2021년06월_남_0~9세","2021년06월_남_10~19세","2021년06월_남_20~29세","2021년06월_남_30~39세","2021년06월_남_40~49세","2021년06월_남_50~59세","2021년06월_남_60~69세","2021년06월_남_70~79세","2021년06월_남_80~89세","2021년06월_남_90~99세","2021년06월_남_100세 이상","2021년06월_여_총인구수","2021년06월_여_연령구간인구수","2021년06월_여_0~9세","2021년06월_여_10~19세","2021년06월_여_20~29세","2021년06월_여_30~39세","2021년06월_여_40~49세","2021년06월_여_50~59세","2021년06월_여_60~69세","2021년06월_여_70~79세","2021년06월_여_80~89세","2021년06월_여_90~99세","2021년06월_여_100세 이상"
"경기도 경기도 고양시 덕양구 (4128100000)","478,147","478,147","38,517","41,468","62,787","68,185","78,812","82,908","57,521","30,512","15,119","2,100","218","236,307","236,307","19,657","21,203","32,472","34,354","39,538","41,288","28,516","13,165","5,526","527","61","241,840","241,840","18,860","20,265","30,315","33,831","39,274","41,620","29,005","17,347","9,593","1,573","157","479,395","479,395","38,506","41,399","62,774","68,373","78,942","83,182","58,058","30,548","15,270","2,126","217","236,862","236,862","19,646","21,183","32,453","34,439","39,573","41,439","28,758","13,182","5,588","543","58","242,533","242,533","18,860","20,216","30,321","33,934","39,369","41,743","29,300","17,366","9,682","1,583","159","479,323","479,323","38,523","41,307","62,755","68,428","78,762","83,160","58,562","30,350","15,304","2,078","94","236,865","236,865","19,681","21,103","32,476","34,476","39,469","41,453","28,969","13,124","5,579","512","23","242,458","242,458","18,842","20,204","30,279","33,952","39,293","41,707","29,593","17,226","9,725","1,566","71","479,828","479,828","38,448","41,295","62,636","68,497","78,854","83,215","59,022","30,338","15,327","2,103","93","237,074","237,074","19,626","21,099","32,403","34,519","39,513","41,453","29,210","13,115","5,602","512","22","242,754","242,754","18,822","20,196","30,233","33,978","39,341","41,762","29,812","17,223","9,725","1,591","71","480,156","480,156","38,275","41,254","62,559","68,522","78,705","83,442","59,463","30,311","15,423","2,109","93","237,211","237,211","19,514","21,076","32,354","34,547","39,446","41,591","29,384","13,126","5,638","513","22","242,945","242,945","18,761","20,178","30,205","33,975","39,259","41,851","30,079","17,185","9,785","1,596","71","480,386","480,386","38,129","41,198","62,450","68,469","78,703","83,411","60,009","30,267","15,553","2,104","93","237,312","237,312","19,441","21,055","32,315","34,518","39,417","41,553","29,683","13,110","5,681","516","23","243,074","243,074","18,688","20,143","30,135","33,951","39,286","41,858","30,326","17,157","9,872","1,588","70"
"경기도 경기도 고양시 일산동구 (4128500000)","300,665","300,665","20,868","29,618","45,052","38,658","51,295","55,985","33,195","15,670","8,834","1,426","64","146,316","146,316","10,678","15,297","22,709","18,858","24,306","27,396","16,804","6,726","3,168","353","21","154,349","154,349","10,190","14,321","22,343","19,800","26,989","28,589","16,391","8,944","5,666","1,073","43","300,850","300,850","20,836","29,528","44,948","38,672","51,193","56,114","33,519","15,657","8,886","1,432","65","146,365","146,365","10,644","15,266","22,645","18,873","24,262","27,424","16,956","6,742","3,176","355","22","154,485","154,485","10,192","14,262","22,303","19,799","26,931","28,690","16,563","8,915","5,710","1,077","43","300,350","300,350","20,712","29,329","44,905","38,654","50,948","55,949","33,828","15,621","8,926","1,433","45","146,157","146,157","10,595","15,155","22,631","18,884","24,169","27,299","17,109","6,740","3,206","353","16","154,193","154,193","10,117","14,174","22,274","19,770","26,779","28,650","16,719","8,881","5,720","1,080","29","300,407","300,407","20,696","29,204","44,758","38,625","50,887","56,071","34,102","15,595","8,985","1,439","45","146,147","146,147","10,585","15,046","22,558","18,886","24,118","27,365","17,255","6,741","3,222","356","15","154,260","154,260","10,111","14,158","22,200","19,739","26,769","28,706","16,847","8,854","5,763","1,083","30","300,437","300,437","20,591","29,112","44,739","38,545","50,710","56,188","34,450","15,590","9,022","1,446","44","146,195","146,195","10,560","14,983","22,540","18,881","24,024","27,409","17,444","6,739","3,243","357","15","154,242","154,242","10,031","14,129","22,199","19,664","26,686","28,779","17,006","8,851","5,779","1,089","29","300,326","300,326","20,483","29,024","44,656","38,509","50,565","56,197","34,750","15,576","9,079","1,445","42","146,160","146,160","10,513","14,915","22,490","18,892","23,962","27,374","17,636","6,725","3,278","360","15","154,166","154,166","9,970","14,109","22,166","19,617","26,603","28,823","17,114","8,851","5,801","1,085","27"
"경기도 경기도 고양시 일산서구 (4128700000)","302,363","302,363","22,504","33,728","42,977","36,419","52,068","56,008","32,005","15,894","9,332","1,368","60","146,755","146,755","11,460","17,226","22,072","17,776","24,335","27,311","16,203","6,648","3,349","360","15","155,608","155,608","11,044","16,502","20,905","18,643","27,733","28,697","15,802","9,246","5,983","1,008","45","302,175","302,175","22,387","33,635","42,762","36,314","51,877","56,133","32,309","15,921","9,397","1,380","60","146,659","146,659","11,410","17,132","21,959","17,771","24,246","27,360","16,366","6,663","3,375","362","15","155,516","155,516","10,977","16,503","20,803","18,543","27,631","28,773","15,943","9,258","6,022","1,018","45","301,172","301,172","22,220","33,339","42,507","36,208","51,445","56,057","32,596","15,890","9,457","1,406","47","146,205","146,205","11,336","16,965","21,848","17,739","24,073","27,302","16,509","6,651","3,396","376","10","154,967","154,967","10,884","16,374","20,659","18,469","27,372","28,755","16,087","9,239","6,061","1,030","37","300,501","300,501","22,078","33,181","42,303","36,110","51,153","55,994","32,861","15,862","9,509","1,406","44","145,841","145,841","11,263","16,885","21,755","17,663","23,961","27,254","16,612","6,648","3,412","378","10","154,660","154,660","10,815","16,296","20,548","18,447","27,192","28,740","16,249","9,214","6,097","1,028","34","300,063","300,063","21,913","33,082","42,120","36,000","50,894","56,058","33,107","15,872","9,560","1,412","45","145,624","145,624","11,168","16,823","21,665","17,607","23,891","27,275","16,712","6,655","3,442","377","9","154,439","154,439","10,745","16,259","20,455","18,393","27,003","28,783","16,395","9,217","6,118","1,035","36","299,795","299,795","21,750","32,964","42,052","35,972","50,748","56,020","33,398","15,822","9,603","1,422","44","145,452","145,452","11,061","16,778","21,603","17,613","23,812","27,249","16,847","6,650","3,450","381","8","154,343","154,343","10,689","16,186","20,449","18,359","26,936","28,771","16,551","9,172","6,153","1,041","36"
"경기도 경기도 과천시 (4129000000)","64,549","64,549","5,377","6,435","8,825","8,987","9,758","11,280","7,714","3,789","1,940","391","53","31,675","31,675","2,784","3,321","4,630","4,536","4,694","5,476","3,765","1,667","704","88","10","32,874","32,874","2,593","3,114","4,195","4,451","5,064","5,804","3,949","2,122","1,236","303","43","67,279","67,279","5,811","6,691","9,055","9,413","10,228","11,707","8,055","3,883","1,992","390","54","33,019","33,019","3,020","3,446","4,759","4,724","4,928","5,672","3,930","1,714","727","88","11","34,260","34,260","2,791","3,245","4,296","4,689","5,300","6,035","4,125","2,169","1,265","302","43","68,399","68,399","5,890","6,722","9,201","9,604","10,330","11,918","8,349","3,931","2,022","395","37","33,581","33,581","3,064","3,470","4,835","4,809","4,995","5,751","4,065","1,751","741","91","9","34,818","34,818","2,826","3,252","4,366","4,795","5,335","6,167","4,284","2,180","1,281","304","28","68,955","68,955","5,934","6,736","9,278","9,691","10,388","12,021","8,464","3,967","2,044","395","37","33,846","33,846","3,088","3,477","4,865","4,855","5,022","5,790","4,117","1,777","749","97","9","35,109","35,109","2,846","3,259","4,413","4,836","5,366","6,231","4,347","2,190","1,295","298","28","69,027","69,027","5,964","6,747","9,301","9,701","10,378","12,054","8,510","3,941","2,037","381","13","33,887","33,887","3,104","3,478","4,876","4,842","5,025","5,809","4,134","1,775","747","94","3","35,140","35,140","2,860","3,269","4,425","4,859","5,353","6,245","4,376","2,166","1,290","287","10","69,276","69,276","6,003","6,752","9,304","9,757","10,410","12,070","8,615","3,934","2,037","382","12","34,036","34,036","3,130","3,475","4,892","4,862","5,047","5,832","4,187","1,769","745","94","3","35,240","35,240","2,873","3,277","4,412","4,895","5,363","6,238","4,428","2,165","1,292","288","9"
"경기도 경기도 구리시 (4131000000)","197,217","197,217","15,049","18,093","27,239","26,228","32,722","35,771","24,672","11,757","4,899","704","83","97,836","97,836","7,774","9,332","13,978","13,189","16,343","17,596","12,331","5,272","1,807","187","27","99,381","99,381","7,275","8,761","13,261","13,039","16,379","18,175","12,341","6,485","3,092","517","56","196,685","196,685","14,918","17,952","27,129","26,044","32,582","35,698","24,888","11,759","4,936","695","84","97,601","97,601","7,706","9,266","13,948","13,094","16,289","17,575","12,425","5,277","1,812","182","27","99,084","99,084","7,212","8,686","13,181","12,950","16,293","18,123","12,463","6,482","3,124","513","57","195,804","195,804","14,752","17,891","27,042","25,820","32,428","35,485","25,049","11,667","4,949","667","54","97,184","97,184","7,600","9,256","13,902","13,026","16,185","17,478","12,478","5,236","1,833","171","19","98,620","98,620","7,152","8,635","13,140","12,794","16,243","18,007","12,571","6,431","3,116","496","35","195,324","195,324","14,674","17,799","26,947","25,635","32,331","35,364","25,252","11,629","4,982","659","52","96,900","96,900","7,559","9,199","13,848","12,915","16,131","17,427","12,582","5,204","1,849","167","19","98,424","98,424","7,115","8,600","13,099","12,720","16,200","17,937","12,670","6,425","3,133","492","33","194,838","194,838","14,596","17,702","26,837","25,524","32,192","35,243","25,367","11,644","5,024","655","54","96,640","96,640","7,512","9,141","13,798","12,857","16,071","17,366","12,614","5,214","1,878","169","20","98,198","98,198","7,084","8,561","13,039","12,667","16,121","17,877","12,753","6,430","3,146","486","34","194,389","194,389","14,533","17,639","26,721","25,425","32,130","35,038","25,547","11,610","5,028","666","52","96,457","96,457","7,480","9,105","13,734","12,813","16,059","17,273","12,717","5,203","1,879","174","20","97,932","97,932","7,053","8,534","12,987","12,612","16,071","17,765","12,830","6,407","3,149","492","32"
"경기도 경기도 남양주시 (4136000000)","714,822","714,822","64,619","77,390","85,165","89,274","130,410","117,419","83,886","45,017","18,728","2,689","225","355,980","355,980","33,225","39,755","44,447","44,020","65,418","59,953","40,919","20,521","7,044","617","61","358,842","358,842","31,394","37,635","40,718","45,254","64,992","57,466","42,967","24,496","11,684","2,072","164","718,434","718,434","64,909","77,651","85,255","89,494","131,180","118,134","84,710","45,143","19,011","2,719","228","357,710","357,710","33,395","39,894","44,447","44,136","65,789","60,325","41,281","20,592","7,168","621","62","360,724","360,724","31,514","37,757","40,808","45,358","65,391","57,809","43,429","24,551","11,843","2,098","166","720,282","720,282","64,864","77,688","85,568","89,817","131,124","118,456","85,661","45,120","19,150","2,702","132","358,682","358,682","33,388","39,900","44,587","44,317","65,762","60,460","41,783","20,602","7,230","623","30","361,600","361,600","31,476","37,788","40,981","45,500","65,362","57,996","43,878","24,518","11,920","2,079","102","721,767","721,767","64,690","77,742","85,727","89,842","131,232","118,804","86,377","45,207","19,294","2,722","130","359,354","359,354","33,311","39,893","44,665","44,347","65,776","60,689","42,066","20,653","7,300","625","29","362,413","362,413","31,379","37,849","41,062","45,495","65,456","58,115","44,311","24,554","11,994","2,097","101","723,215","723,215","64,403","77,928","85,855","89,743","131,202","119,382","87,081","45,288","19,470","2,727","136","360,076","360,076","33,192","39,994","44,742","44,308","65,732","61,004","42,396","20,681","7,373","623","31","363,139","363,139","31,211","37,934","41,113","45,435","65,470","58,378","44,685","24,607","12,097","2,104","105","724,183","724,183","64,095","78,097","85,889","89,558","131,327","119,530","87,831","45,345","19,626","2,744","141","360,473","360,473","33,021","40,042","44,768","44,232","65,754","61,049","42,802","20,720","7,420","633","32","363,710","363,710","31,074","38,055","41,121","45,326","65,573","58,481","45,029","24,625","12,206","2,111","109"
"경기도 경기도 오산시 (4137000000)","230,042","230,042","23,574","24,924","31,378","38,825","43,380","33,399","20,137","9,842","4,023","518","42","118,964","118,964","11,972","12,713","16,960","20,968","23,022","17,438","9,941","4,358","1,474","106","12","111,078","111,078","11,602","12,211","14,418","17,857","20,358","15,961","10,196","5,484","2,549","412","30","230,522","230,522","23,409","24,925","31,492","38,663","43,589","33,536","20,404","9,867","4,082","515","40","119,237","119,237","11,903","12,712","17,014","20,896","23,139","17,518","10,081","4,364","1,494","104","12","111,285","111,285","11,506","12,213","14,478","17,767","20,450","16,018","10,323","5,503","2,588","411","28","230,604","230,604","23,226","24,947","31,546","38,603","43,592","33,504","20,661","9,871","4,114","509","31","119,343","119,343","11,827","12,729","17,043","20,875","23,155","17,517","10,229","4,352","1,506","101","9","111,261","111,261","11,399","12,218","14,503","17,728","20,437","15,987","10,432","5,519","2,608","408","22","230,769","230,769","23,065","24,925","31,646","38,464","43,628","33,634","20,809","9,906","4,144","517","31","119,513","119,513","11,753","12,722","17,109","20,831","23,201","17,606","10,288","4,369","1,526","99","9","111,256","111,256","11,312","12,203","14,537","17,633","20,427","16,028","10,521","5,537","2,618","418","22","230,702","230,702","22,927","24,941","31,583","38,330","43,623","33,675","20,989","9,902","4,186","521","25","119,532","119,532","11,705","12,741","17,065","20,769","23,217","17,631","10,389","4,368","1,538","102","7","111,170","111,170","11,222","12,200","14,518","17,561","20,406","16,044","10,600","5,534","2,648","419","18","230,705","230,705","22,807","24,937","31,522","38,192","43,700","33,660","21,198","9,916","4,224","524","25","119,561","119,561","11,653","12,735","17,051","20,696","23,276","17,613","10,492","4,379","1,554","105","7","111,144","111,144","11,154","12,202","14,471","17,496","20,424","16,047","10,706","5,537","2,670","419","18"
"경기도 경기도 시흥시 (4139000000)","504,935","504,935","48,875","50,397","69,859","78,212","91,425","88,019","48,041","19,639","8,995","1,376","97","263,749","263,749","24,872","25,887","37,958","41,764","49,208","46,419","25,509","8,910","2,921","274","27","241,186","241,186","24,003","24,510","31,901","36,448","42,217","41,600","22,532","10,729","6,074","1,102","70","507,681","507,681","49,158","50,504","70,032","78,618","91,918","88,422","48,753","19,708","9,078","1,388","102","265,172","265,172","25,031","25,950","38,037","42,009","49,441","46,596","25,886","8,968","2,947","278","29","242,509","242,509","24,127","24,554","31,995","36,609","42,477","41,826","22,867","10,740","6,131","1,110","73","509,115","509,115","49,124","50,509","70,166","78,787","91,950","88,589","49,553","19,725","9,192","1,417","103","265,947","265,947","25,009","25,973","38,135","42,111","49,482","46,626","26,319","8,986","2,993","284","29","243,168","243,168","24,115","24,536","32,031","36,676","42,468","41,963","23,234","10,739","6,199","1,133","74","510,098","510,098","49,119","50,411","70,298","78,769","92,133","88,712","50,081","19,781","9,269","1,422","103","266,410","266,410","24,972","25,928","38,173","42,109","49,611","46,652","26,609","9,018","3,027","281","30","243,688","243,688","24,147","24,483","32,125","36,660","42,522","42,060","23,472","10,763","6,242","1,141","73","510,833","510,833","49,027","50,384","70,324","78,680","92,108","88,962","50,676","19,825","9,319","1,423","105","266,839","266,839","24,915","25,893","38,203","42,084","49,623","46,786","26,934","9,045","3,049","277","30","243,994","243,994","24,112","24,491","32,121","36,596","42,485","42,176","23,742","10,780","6,270","1,146","75","511,314","511,314","48,870","50,361","70,248","78,524","92,241","89,124","51,166","19,887","9,360","1,428","105","267,078","267,078","24,837","25,863","38,133","41,998","49,734","46,885","27,175","9,083","3,058","282","30","244,236","244,236","24,033","24,498","32,115","36,526","42,507","42,239","23,991","10,804","6,302","1,146","75"
"경기도 경기도 군포시 (4141000000)","273,542","273,542","20,505","26,493","38,199","38,131","44,321","48,122","33,731","15,182","7,577","1,206","75","135,726","135,726","10,495","13,667","19,969","19,772","21,832","23,497","16,624","6,829","2,687","333","21","137,816","137,816","10,010","12,826","18,230","18,359","22,489","24,625","17,107","8,353","4,890","873","54","272,533","272,533","20,195","26,290","37,985","37,853","44,062","48,049","33,990","15,172","7,658","1,205","74","135,192","135,192","10,323","13,571","19,873","19,622","21,717","23,463","16,729","6,824","2,720","329","21","137,341","137,341","9,872","12,719","18,112","18,231","22,345","24,586","17,261","8,348","4,938","876","53","271,392","271,392","19,996","26,148","37,870","37,620","43,795","47,807","34,137","15,105","7,675","1,198","41","134,603","134,603","10,222","13,517","19,767","19,517","21,614","23,327","16,783","6,802","2,724","321","9","136,789","136,789","9,774","12,631","18,103","18,103","22,181","24,480","17,354","8,303","4,951","877","32","271,007","271,007","19,818","26,043","37,777","37,519","43,680","47,717","34,409","15,103","7,703","1,197","41","134,427","134,427","10,132","13,467","19,733","19,470","21,535","23,300","16,909","6,813","2,737","321","10","136,580","136,580","9,686","12,576","18,044","18,049","22,145","24,417","17,500","8,290","4,966","876","31","270,754","270,754","19,697","25,953","37,711","37,430","43,520","47,633","34,693","15,106","7,767","1,201","43","134,288","134,288","10,068","13,447","19,667","19,436","21,480","23,256","17,010","6,827","2,765","322","10","136,466","136,466","9,629","12,506","18,044","17,994","22,040","24,377","17,683","8,279","5,002","879","33","270,584","270,584","19,585","25,866","37,603","37,378","43,416","47,530","35,020","15,135","7,807","1,200","44","134,167","134,167","9,987","13,430","19,596","19,395","21,437","23,193","17,173","6,851","2,772","324","9","136,417","136,417","9,598","12,436","18,007","17,983","21,979","24,337","17,847","8,284","5,035","876","35"
"경기도 경기도 의왕시 (4143000000)","163,585","163,585","13,016","14,561","23,456","22,826","24,587","29,389","21,610","9,119","4,235","739","47","81,379","81,379","6,749","7,506","12,332","11,753","12,128","14,145","10,837","4,284","1,464","168","13","82,206","82,206","6,267","7,055","11,124","11,073","12,459","15,244","10,773","4,835","2,771","571","34","163,208","163,208","12,943","14,477","23,300","22,709","24,469","29,336","21,770","9,155","4,260","741","48","81,175","81,175","6,717","7,431","12,275","11,693","12,062","14,132","10,890","4,316","1,478","168","13","82,033","82,033","6,226","7,046","11,025","11,016","12,407","15,204","10,880","4,839","2,782","573","35","162,443","162,443","12,888","14,393","23,187","22,644","24,241","29,177","21,808","9,109","4,243","729","24","80,839","80,839","6,692","7,398","12,216","11,675","11,998","14,050","10,883","4,287","1,473","164","3","81,604","81,604","6,196","6,995","10,971","10,969","12,243","15,127","10,925","4,822","2,770","565","21","162,227","162,227","12,849","14,285","23,148","22,571","24,184","29,105","21,985","9,082","4,264","729","25","80,714","80,714","6,662","7,345","12,189","11,642","11,991","13,992","10,965","4,280","1,480","165","3","81,513","81,513","6,187","6,940","10,959","10,929","12,193","15,113","11,020","4,802","2,784","564","22","162,239","162,239","12,838","14,222","23,090","22,564","24,109","29,118","22,172","9,079","4,288","737","22","80,710","80,710","6,659","7,304","12,149","11,642","11,955","13,991","11,060","4,287","1,492","168","3","81,529","81,529","6,179","6,918","10,941","10,922","12,154","15,127","11,112","4,792","2,796","569","19","162,215","162,215","12,773","14,205","23,063","22,530","24,091","29,024","22,369","9,091","4,312","736","21","80,667","80,667","6,615","7,297","12,128","11,610","11,959","13,953","11,140","4,291","1,504","167","3","81,548","81,548","6,158","6,908","10,935","10,920","12,132","15,071","11,229","4,800","2,808","569","18"
"경기도 경기도 하남시 (4145000000)","295,122","295,122","30,164","25,378","36,632","50,171","51,912","42,254","35,407","16,319","5,753","1,009","123","148,229","148,229","15,437","12,933","18,633","25,437","27,217","21,024","17,114","8,128","2,048","224","34","146,893","146,893","14,727","12,445","17,999","24,734","24,695","21,230","18,293","8,191","3,705","785","89","298,005","298,005","30,340","25,752","36,982","50,510","52,624","42,565","35,790","16,459","5,836","1,029","118","149,595","149,595","15,546","13,090","18,765","25,615","27,586","21,190","17,278","8,196","2,068","231","30","148,410","148,410","14,794","12,662","18,217","24,895","25,038","21,375","18,512","8,263","3,768","798","88","300,187","300,187","30,539","26,000","37,340","50,838","53,013","42,875","36,155","16,478","5,856","1,031","62","150,678","150,678","15,658","13,198","18,933","25,749","27,779","21,371","17,463","8,219","2,062","231","15","149,509","149,509","14,881","12,802","18,407","25,089","25,234","21,504","18,692","8,259","3,794","800","47","301,801","301,801","30,550","26,183","37,539","50,942","53,384","43,182","36,509","16,511","5,905","1,036","60","151,429","151,429","15,665","13,263","19,015","25,794","27,944","21,554","17,627","8,238","2,087","228","14","150,372","150,372","14,885","12,920","18,524","25,148","25,440","21,628","18,882","8,273","3,818","808","46","302,681","302,681","30,485","26,307","37,535","50,938","53,569","43,360","36,791","16,635","5,961","1,040","60","151,874","151,874","15,630","13,317","18,992","25,827","28,020","21,650","17,778","8,293","2,123","230","14","150,807","150,807","14,855","12,990","18,543","25,111","25,549","21,710","19,013","8,342","3,838","810","46","305,908","305,908","30,881","26,667","37,856","51,316","54,268","43,789","37,240","16,752","6,033","1,046","60","153,427","153,427","15,830","13,513","19,137","25,970","28,346","21,897","17,982","8,354","2,154","230","14","152,481","152,481","15,051","13,154","18,719","25,346","25,922","21,892","19,258","8,398","3,879","816","46"
"경기도 경기도 용인시 (4146000000)","1,075,045","1,075,045","100,084","121,078","137,984","144,750","199,921","165,706","107,144","65,857","28,103","4,209","209","533,222","533,222","51,142","62,134","71,477","71,443","98,747","84,294","51,124","29,986","11,706","1,131","38","541,823","541,823","48,942","58,944","66,507","73,307","101,174","81,412","56,020","35,871","16,397","3,078","171","1,075,918","1,075,918","99,798","120,875","137,900","144,241","199,996","166,394","107,954","65,935","28,355","4,255","215","533,604","533,604","51,035","61,966","71,467","71,184","98,769","84,613","51,585","29,982","11,821","1,140","42","542,314","542,314","48,763","58,909","66,433","73,057","101,227","81,781","56,369","35,953","16,534","3,115","173","1,075,421","1,075,421","99,274","120,661","138,150","143,848","199,206","166,732","108,765","65,843","28,543","4,249","150","533,356","533,356","50,761","61,825","71,627","71,049","98,334","84,780","52,022","29,899","11,900","1,133","26","542,065","542,065","48,513","58,836","66,523","72,799","100,872","81,952","56,743","35,944","16,643","3,116","124","1,076,773","1,076,773","98,828","121,383","138,229","143,621","199,023","167,107","109,529","65,851","28,764","4,285","153","534,238","534,238","50,522","62,462","71,671","70,935","98,195","84,973","52,419","29,889","12,002","1,143","27","542,535","542,535","48,306","58,921","66,558","72,686","100,828","82,134","57,110","35,962","16,762","3,142","126","1,077,701","1,077,701","98,357","121,826","138,436","143,175","198,677","167,731","110,211","65,839","29,011","4,289","149","534,842","534,842","50,304","62,746","71,900","70,679","98,009","85,253","52,818","29,843","12,127","1,137","26","542,859","542,859","48,053","59,080","66,536","72,496","100,668","82,478","57,393","35,996","16,884","3,152","123","1,077,826","1,077,826","97,820","121,970","138,327","142,636","198,690","167,877","111,016","65,830","29,197","4,311","152","534,946","534,946","50,041","62,815","71,866","70,479","97,983","85,346","53,216","29,807","12,220","1,147","26","542,880","542,880","47,779","59,155","66,461","72,157","100,707","82,531","57,800","36,023","16,977","3,164","126"
